TradingDate,CallPut,StrikePrice,Quantity
2021-06-15,P,810,0
2021-06-15,C,820,16
2021-06-15,P,820,0
2021-06-15,C,830,1
2021-06-15,P,830,0
2021-06-15,C,840,8
2021-06-15,P,840,0
2021-06-15,C,850,25
2021-06-15,P,850,0
2021-06-15,C,860,0
2021-06-15,P,860,0
2021-06-15,C,870,10
2021-06-15,P,870,0
2021-06-15,C,880,11
2021-06-15,P,880,0
2021-06-15,C,890,6
2021-06-15,P,890,0
2021-06-15,C,900,36
2021-06-15,P,900,0
2021-06-15,C,910,137
2021-06-15,P,910,0
2021-06-15,C,920,192
2021-06-15,P,920,0
2021-06-15,C,930,246
2021-06-15,P,930,0
2021-06-15,C,940,321
2021-06-15,P,940,0
2021-06-15,C,950,75
2021-06-15,P,950,0
2021-06-15,C,960,211
2021-06-15,P,960,0
2021-06-15,C,970,271
2021-06-15,P,970,0
2021-06-15,C,980,51
2021-06-15,P,980,0
2021-06-15,C,990,153
2021-06-15,P,990,0
2021-06-15,C,1000,60
2021-06-15,P,1000,0
2021-06-15,C,1025,0
2021-06-15,P,1025,0
2021-06-15,C,1050,1
2021-06-15,P,1050,0
2021-06-15,C,1075,0
2021-06-15,P,1075,0
2021-06-15,C,1100,3
2021-06-15,P,1100,0
2021-06-15,C,1125,1
2021-06-15,P,1125,0
2021-06-15,C,1150,0
2021-06-15,P,1150,0
2021-06-15,C,1175,0
2021-06-15,P,1175,0
2021-06-15,C,1200,9
2021-06-15,P,1200,0
2021-06-15,C,1225,79
2021-06-15,P,1225,1
2021-06-16,C,50,0
2021-06-16,P,50,0
2021-06-16,C,100,0
2021-06-16,P,100,2
2021-06-16,C,150,0
2021-06-16,P,150,1
2021-06-16,C,200,0
2021-06-16,P,200,28
2021-06-16,C,250,2
2021-06-16,P,250,213
2021-06-16,C,300,0
2021-06-16,P,300,59
2021-06-16,C,310,0
2021-06-16,P,310,59
2021-06-16,C,320,0
2021-06-16,P,320,4
2021-06-16,C,330,0
2021-06-16,P,330,1
2021-06-16,C,340,0
2021-06-16,P,340,34
2021-06-16,C,350,0
2021-06-16,P,350,46
2021-06-16,C,360,0
2021-06-16,P,360,2
2021-06-16,C,370,0
2021-06-16,P,370,4
2021-06-16,C,380,0
2021-06-16,P,380,30
2021-06-16,C,390,0
2021-06-16,P,390,14
2021-06-16,C,400,2
2021-06-16,P,400,21
2021-06-16,C,410,0
2021-06-16,P,410,31
2021-06-16,C,420,0
2021-06-16,P,420,15
2021-06-16,C,430,0
2021-06-16,P,430,4
2021-06-16,C,440,0
2021-06-16,P,440,22
2021-06-16,C,450,2
2021-06-16,P,450,63
2021-06-16,C,460,1
2021-06-16,P,460,59
2021-06-16,C,470,0
2021-06-16,P,470,35
2021-06-16,C,480,1
2021-06-16,P,480,94
2021-06-16,C,490,1
2021-06-16,P,490,214
2021-06-16,C,500,4
2021-06-16,P,500,277
2021-06-16,C,510,0
2021-06-16,P,510,170
2021-06-16,C,520,21
2021-06-16,P,520,56
2021-06-16,C,530,3
2021-06-16,P,530,48
2021-06-16,C,535,1
2021-06-16,P,535,31
2021-06-16,C,540,4
2021-06-16,P,540,88
2021-06-16,C,545,4
2021-06-16,P,545,31
2021-06-16,C,550,9
2021-06-16,P,550,59
2021-06-16,C,555,2
2021-06-16,P,555,15
2021-06-16,C,560,4
2021-06-16,P,560,39
2021-06-16,C,565,1
2021-06-16,P,565,10
2021-06-16,C,570,9
2021-06-16,P,570,19
2021-06-16,C,575,3
2021-06-16,P,575,33
2021-06-16,C,577.5,1
2021-06-16,P,577.5,17
2021-06-16,C,580,1
2021-06-16,P,580,65
2021-06-16,C,582.5,0
2021-06-16,P,582.5,1
2021-06-16,C,585,2
2021-06-16,P,585,44
2021-06-16,C,587.5,0
2021-06-16,P,587.5,6
2021-06-16,C,590,9
2021-06-16,P,590,125
2021-06-16,C,592.5,0
2021-06-16,P,592.5,3
2021-06-16,C,595,2
2021-06-16,P,595,76
2021-06-16,C,597.5,4
2021-06-16,P,597.5,49
2021-06-16,C,600,93
2021-06-16,P,600,189
2021-06-16,C,602.5,15
2021-06-16,P,602.5,14
2021-06-16,C,605,35
2021-06-16,P,605,19
2021-06-16,C,607.5,1148
2021-06-16,P,607.5,52
2021-06-16,C,610,117
2021-06-16,P,610,23
2021-06-16,C,612.5,13
2021-06-16,P,612.5,8
2021-06-16,C,615,30
2021-06-16,P,615,10
2021-06-16,C,617.5,11
2021-06-16,P,617.5,11
2021-06-16,C,620,47
2021-06-16,P,620,13
2021-06-16,C,622.5,17
2021-06-16,P,622.5,7
2021-06-16,C,625,173
2021-06-16,P,625,1
2021-06-16,C,630,20
2021-06-16,P,630,157
2021-06-16,C,635,10
2021-06-16,P,635,2
2021-06-16,C,640,34
2021-06-16,P,640,8
2021-06-16,C,645,17
2021-06-16,P,645,1
2021-06-16,C,650,268
2021-06-16,P,650,66
2021-06-16,C,655,13
2021-06-16,P,655,20
2021-06-16,C,660,9
2021-06-16,P,660,4
2021-06-16,C,665,19
2021-06-16,P,665,10
2021-06-16,C,670,38
2021-06-16,P,670,12
2021-06-16,C,680,85
2021-06-16,P,680,13
2021-06-16,C,690,163
2021-06-16,P,690,10
2021-06-16,C,700,269
2021-06-16,P,700,6
2021-06-16,C,710,42
2021-06-16,P,710,8
2021-06-16,C,720,2341
2021-06-16,P,720,13
2021-06-16,C,730,63
2021-06-16,P,730,40
2021-06-16,C,740,6281
2021-06-16,P,740,3
2021-06-16,C,750,1269
2021-06-16,P,750,0
2021-06-16,C,760,136
2021-06-16,P,760,0
2021-06-16,C,770,89
